Departamento,Year,Poblacion,Electores,PIM,Devengado,PIM_GN,Devengado_GN,PIM_GR,Devengado_GR,PIM_GL,Devengado_GL,Educacion,Salud,Saneamiento,Ambiente,Transportes,Turismo,Otros,PIM_CC,Devengado_CC,PIM_CC_GN,Devengado_CC_GN,PIM_CC_GR,Devengado_CC_GR,PIM_CC_GL,Devengado_CC_GL,Asignacion_Presupuestal_FONDES,Devengado_FONDES,Marco_Presupuestal_GN_Fondes,Devengado_GN_Fondes,Marco_Presupuestal_GR_Fondes,Devengado_GR_Fondes,Marco_Presupuestal_GL_Fondes,Devengado GL Fondes,PIM_CC_GN_ENTRE_PIM,PIM_CC_GR_ENTRE_PIM,PIM_CC_GL_ENTRE_PIM,AP_GN_Fondes_Entre_PIM,AP_GR_Fondes_Entre_PIM,AP_GL_Fondes_Entre_PIM
AMAZONAS,2015,422629,228936,892852469,735523335,356715282,341393096,202960280,166339112,333176907,227791128,146592704,32497417,109130536,6587036,270845098,45263648,124606896,12014639,8975173,0,0,10954817,8416612,1059822,558561,0,0,0,0,0,0,0,0,0,0.05398,0.00318,0,0,0
ANCASH,2015,1148634,661380,1242315262,679241101,310864153,204035672,198847827,49365547,732603282,425839882,111059285,5520974,152653978,8139598,157394362,1658493,242814411,31174571,15649715,5475838,5432688,5097026,0,20601707,10217027,0,0,0,0,0,0,0,0,0.01761,0.02563,0.02812,0,0,0
APURIMAC,2015,458830,242965,1317800243,766673289,285978405,245439798,281882101,232279264,749939737,288954227,197929936,19065923,93762189,50360576,173842268,923037,230789360,76384514,67042316,0,0,64977212,64445362,11407302,2596954,0,0,0,0,0,0,0,0,0,0.23051,0.01521,0,0,0
AREQUIPA,2015,1287205,850913,1863827690,1171034749,441067814,398115057,427091997,260342001,995667879,512577692,136061975,24701338,139180374,16912010,517921976,17833606,318423470,17053807,4458292,0,0,0,0,17053807,4458292,0,0,0,0,0,0,0,0,0,0,0.01713,0,0,0
AYACUCHO,2015,688657,364963,1848001082,1486547059,622178227,548419298,476648674,405176951,749174181,532950809,322193499,161511649,142743336,13863905,486014028,4102348,356118294,28783844,18953511,0,0,5244084,4495529,23539760,14457982,0,0,0,0,0,0,0,0,0,0.011,0.03142,0,0,0
CAJAMARCA,2015,1529755,807357,2141284200,1549619670,853750140,763000164,251720851,151759335,1035813209,634860171,270738759,50297128,201079512,6102603,581884496,1945723,437571449,47285818,19916052,1697921,1645666,2751081,2247326,42836816,16023059,0,0,0,0,0,0,0,0,0.00199,0.01093,0.04136,0,0,0
CALLAO,2015,1010315,648367,2518437431,2413553099,2249658780,2204877859,169383787,131696292,99394864,76978948,24251943,9219862,3229214,11416547,197507025,0,2167928508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSCO,2015,1316729,756348,3444032663,2924104532,1099640843,1015690613,533010683,429793963,1811381137,1478619956,376439147,81793313,314215459,111788221,1069228797,15809620,954829975,62364897,54896719,603398,603397,5893238,5838026,55868261,48455296,0,0,0,0,0,0,0,0,0.00055,0.01106,0.03084,0,0,0
HUANCAVELICA,2015,494963,205637,1199841306,992439118,510338198,459546277,224154972,186529656,465348136,346363185,189070012,38007771,122836856,17274297,354061115,704686,270484381,9097906,8662727,0,0,6305682,6204268,2792224,2458460,0,0,0,0,0,0,0,0,0,0.02813,0.006,0,0,0
HUANUCO,2015,860537,427449,1099071597,814417258,267277312,229655633,236146611,218625287,595647674,366136337,283720241,70124523,74985603,18918344,195533185,800989,170334373,22438180,19660047,4102962,4079349,8010589,8007174,10324629,7573524,0,0,0,0,0,0,0,0,0.01535,0.03392,0.01733,0,0,0
