ANO_EJE,DEPARTAMENTO_META_NOMBRE,TIPO_GOBIERNO_NOMBRE,MARCO_PRESUPUESTAL,DEVENGADO_FONDES,MONTO_PIM,MONTO_DEVENGADO,Electores,Poblacion,PIMCC,DevengadoCC
2015,AMAZONAS,GOBIERNO NACIONAL,0,0,1015719752,990852136,228936,422629,0,0
2015,AMAZONAS,GOBIERNOS LOCALES,0,0,469211040,346030780,228936,422629,1059822,558561
2015,AMAZONAS,GOBIERNOS REGIONALES,0,0,672672311,623096442,228936,422629,10954817,8416612
2015,AMAZONAS,TRES NIVELES DE GOBIERNO,0,0,2157603103,1959979358,228936,422629,12014639,8975173
2015,ANCASH,GOBIERNO NACIONAL,0,0,1484046533,1281691779,661380,1148634,5475838,5432688
2015,ANCASH,GOBIERNOS LOCALES,0,0,1287641050,867729555,661380,1148634,20601707,10217027
2015,ANCASH,GOBIERNOS REGIONALES,0,0,1282511972,1042358400,661380,1148634,5097026,0
2015,ANCASH,TRES NIVELES DE GOBIERNO,0,0,4054199555,3191779734,661380,1148634,31174571,15649715
2015,APURIMAC,GOBIERNO NACIONAL,0,0,847301232,792853422,242965,458830,0,0
2015,APURIMAC,GOBIERNOS LOCALES,0,0,907064302,425109743,242965,458830,11407302,2596954
2015,APURIMAC,GOBIERNOS REGIONALES,0,0,902172208,814175218,242965,458830,64977212,64445362
2015,APURIMAC,TRES NIVELES DE GOBIERNO,0,0,2656537742,2032138383,242965,458830,76384514,67042316
2015,AREQUIPA,GOBIERNO NACIONAL,0,0,1964965311,1829896219,850913,1287205,0,0
2015,AREQUIPA,GOBIERNOS LOCALES,0,0,1624572018,978809171,850913,1287205,17053807,4458292
2015,AREQUIPA,GOBIERNOS REGIONALES,0,0,1573556845,1336828205,850913,1287205,0,0
2015,AREQUIPA,TRES NIVELES DE GOBIERNO,0,0,5163094174,4145533595,850913,1287205,17053807,4458292
2015,AYACUCHO,GOBIERNO NACIONAL,0,0,1687815885,1543537763,364963,688657,0,0
2015,AYACUCHO,GOBIERNOS LOCALES,0,0,995713710,736823068,364963,688657,23539760,14457982
2015,AYACUCHO,GOBIERNOS REGIONALES,0,0,1351321722,1251735126,364963,688657,5244084,4495529
2015,AYACUCHO,TRES NIVELES DE GOBIERNO,0,0,4034851317,3532095957,364963,688657,28783844,18953511
2015,CAJAMARCA,GOBIERNO NACIONAL,0,0,2012422456,1876793466,807357,1529755,1697921,1645666
2015,CAJAMARCA,GOBIERNOS LOCALES,0,0,1677182312,1153459656,807357,1529755,42836816,16023059
2015,CAJAMARCA,GOBIERNOS REGIONALES,0,0,1535706152,1408966966,807357,1529755,2751081,2247326
2015,CAJAMARCA,TRES NIVELES DE GOBIERNO,0,0,5225310920,4439220088,807357,1529755,47285818,19916052
2015,CALLAO,GOBIERNO NACIONAL,0,0,0,0,648367,1010315,0,0
2015,CALLAO,GOBIERNOS LOCALES,0,0,0,0,648367,1010315,0,0
2015,CALLAO,GOBIERNOS REGIONALES,0,0,0,0,648367,1010315,0,0
2015,CALLAO,TRES NIVELES DE GOBIERNO,0,0,0,0,648367,1010315,0,0
2015,CUSCO,GOBIERNO NACIONAL,0,0,2946490925,2750078066,756348,1316729,603398,603397
2015,CUSCO,GOBIERNOS LOCALES,0,0,2667743925,2217524438,756348,1316729,55868261,48455296
2015,CUSCO,GOBIERNOS REGIONALES,0,0,1825817148,1630357953,756348,1316729,5893238,5838026
2015,CUSCO,TRES NIVELES DE GOBIERNO,0,0,7440051998,6597960457,756348,1316729,62364897,54896719
2015,HUANCAVELICA,GOBIERNO NACIONAL,0,0,1079397334,998498269,205637,494963,0,0
2015,HUANCAVELICA,GOBIERNOS LOCALES,0,0,676627427,513514253,205637,494963,2792224,2458460
2015,HUANCAVELICA,GOBIERNOS REGIONALES,0,0,854496064,788780369,205637,494963,6305682,6204268
2015,HUANCAVELICA,TRES NIVELES DE GOBIERNO,0,0,2610520825,2300792891,205637,494963,9097906,8662727
2015,HUANUCO,GOBIERNO NACIONAL,0,0,1201674713,1106559839,427449,860537,4102962,4079349
2015,HUANUCO,GOBIERNOS LOCALES,0,0,864480705,590817136,427449,860537,10324629,7573524
2015,HUANUCO,GOBIERNOS REGIONALES,0,0,957414264,891477133,427449,860537,8010589,8007174
2015,HUANUCO,TRES NIVELES DE GOBIERNO,0,0,3023569682,2588854108,427449,860537,22438180,19660047
2015,ICA,GOBIERNO NACIONAL,0,0,971950781,885696310,507681,787170,0,0
