ANO_EJE,DEPARTAMENTO_META_NOMBRE,TIPO_GOBIERNO_NOMBRE,MARCO_PRESUPUESTAL,MONTO_DEVENGADO
2018,ANCASH,GOBIERNO NACIONAL,135656587,30444079
2018,ANCASH,GOBIERNOS LOCALES,69864319,21605490
2018,ANCASH,TRES NIVELES DE GOBIERNO,205520906,52049573
2018,AREQUIPA,GOBIERNO NACIONAL,4374973,971316
2018,AREQUIPA,GOBIERNOS LOCALES,3895863,1362592
2018,AREQUIPA,GOBIERNOS REGIONALES,41402898,1003122
2018,AREQUIPA,TRES NIVELES DE GOBIERNO,49673734,3337029
2018,AYACUCHO,GOBIERNO NACIONAL,271189,104869
2018,AYACUCHO,GOBIERNOS LOCALES,86365488,11430495
2018,AYACUCHO,TRES NIVELES DE GOBIERNO,86636677,11535364
2018,CAJAMARCA,GOBIERNO NACIONAL,1675138,403007
2018,CAJAMARCA,GOBIERNOS LOCALES,117336942,32588476
2018,CAJAMARCA,TRES NIVELES DE GOBIERNO,119012080,32991484
2018,CUSCO,GOBIERNO NACIONAL,513053,83675
2018,CUSCO,GOBIERNOS LOCALES,12003299,3542497
2018,CUSCO,GOBIERNOS REGIONALES,30970757,25923020
2018,CUSCO,TRES NIVELES DE GOBIERNO,43487109,29549195
2018,HUANCAVELICA,GOBIERNO NACIONAL,184216,104479
2018,HUANCAVELICA,GOBIERNOS LOCALES,12126507,1476592
2018,HUANCAVELICA,GOBIERNOS REGIONALES,56359725,1160899
2018,HUANCAVELICA,TRES NIVELES DE GOBIERNO,68670448,2741969
2018,HUANUCO,GOBIERNO NACIONAL,159965,47144
2018,HUANUCO,TRES NIVELES DE GOBIERNO,159965,47145
2018,ICA,GOBIERNO NACIONAL,26189079,134941
2018,ICA,GOBIERNOS LOCALES,49816703,7491426
2018,ICA,TRES NIVELES DE GOBIERNO,76005782,7626368
2018,JUNIN,GOBIERNO NACIONAL,51349,14074
2018,JUNIN,GOBIERNOS LOCALES,2986428,2717817
2018,JUNIN,TRES NIVELES DE GOBIERNO,3037777,2731891
2018,LA LIBERTAD,GOBIERNO NACIONAL,37461920,7793644
2018,LA LIBERTAD,GOBIERNOS LOCALES,321979409,48507789
2018,LA LIBERTAD,GOBIERNOS REGIONALES,25273643,599939
2018,LA LIBERTAD,TRES NIVELES DE GOBIERNO,384714972,56901371
2018,LAMBAYEQUE,GOBIERNO NACIONAL,68485626,10859451
2018,LAMBAYEQUE,GOBIERNOS LOCALES,87288999,30686128
