PERIODO,TIPO_GOBIERNO_NOMBRE,TIPO,DEPARTAMENTO_META_NOMBRE,MONTO_PIM,MONTO_DEVENGADO
2015,GOBIERNOS LOCALES,ADAPTACION,AMAZONAS,654646,290194
2015,GOBIERNOS LOCALES,ADAPTACION,ANCASH,16780358,7036645
2015,GOBIERNOS LOCALES,ADAPTACION,APURIMAC,10607107,1879136
2015,GOBIERNOS LOCALES,ADAPTACION,AREQUIPA,16081917,4150783
2015,GOBIERNOS LOCALES,ADAPTACION,AYACUCHO,20217621,11759119
2015,GOBIERNOS LOCALES,ADAPTACION,CAJAMARCA,39299380,13275061
2015,GOBIERNOS LOCALES,ADAPTACION,CUSCO,19446448,13638711
2015,GOBIERNOS LOCALES,ADAPTACION,HUANCAVELICA,1527888,1241198
2015,GOBIERNOS LOCALES,ADAPTACION,HUANUCO,5112078,2430049
2015,GOBIERNOS LOCALES,ADAPTACION,ICA,13691305,7213002
2015,GOBIERNOS LOCALES,ADAPTACION,JUNIN,17136869,3601834
2015,GOBIERNOS LOCALES,ADAPTACION,LA LIBERTAD,2385635,1349277
2015,GOBIERNOS LOCALES,ADAPTACION,LAMBAYEQUE,11148572,9705561
2015,GOBIERNOS LOCALES,ADAPTACION,LIMA,11438321,10526047
2015,GOBIERNOS LOCALES,ADAPTACION,LORETO,3630929,2381691
2015,GOBIERNOS LOCALES,ADAPTACION,MOQUEGUA,1271529,893019
2015,GOBIERNOS LOCALES,ADAPTACION,PASCO,8320553,6914474
2015,GOBIERNOS LOCALES,ADAPTACION,PIURA,8832627,3741490
2015,GOBIERNOS LOCALES,ADAPTACION,PUNO,4774211,1798490
2015,GOBIERNOS LOCALES,ADAPTACION,SAN MARTIN,848072,537797
2015,GOBIERNOS LOCALES,ADAPTACION,TACNA,4726666,4495209
2015,GOBIERNOS LOCALES,ADAPTACION,TUMBES,481581,385861
2015,GOBIERNOS LOCALES,ADAPTACION,NACIONAL,218414313,109244648
2015,GOBIERNO NACIONAL,ADAPTACION,CUSCO,603398,603397
2015,GOBIERNO NACIONAL,ADAPTACION,LIMA,3345096,3345096
2015,GOBIERNO NACIONAL,ADAPTACION,LORETO,0,0
2015,GOBIERNO NACIONAL,ADAPTACION,PIURA,0,0
2015,GOBIERNO NACIONAL,ADAPTACION,NACIONAL,3948494,3948493
2015,GOBIERNO REGIONAL,ADAPTACION,AMAZONAS,8533483,6007963
2015,GOBIERNO REGIONAL,ADAPTACION,ANCASH,3003071,0
2015,GOBIERNO REGIONAL,ADAPTACION,APURIMAC,23243984,23161044
2015,GOBIERNO REGIONAL,ADAPTACION,AYACUCHO,3983449,3251003
2015,GOBIERNO REGIONAL,ADAPTACION,CUSCO,190766,190765
2015,GOBIERNO REGIONAL,ADAPTACION,HUANCAVELICA,3726382,3649755
2015,GOBIERNO REGIONAL,ADAPTACION,LIMA,470971,470927
2015,GOBIERNO REGIONAL,ADAPTACION,LORETO,2213019,0
2015,GOBIERNO REGIONAL,ADAPTACION,MOQUEGUA,241462,208426
2015,GOBIERNO REGIONAL,ADAPTACION,PASCO,8439747,8416812
2015,GOBIERNO REGIONAL,ADAPTACION,PIURA,51597,0
2015,GOBIERNO REGIONAL,ADAPTACION,SAN MARTIN,979911,160872
2015,GOBIERNO REGIONAL,ADAPTACION,TUMBES,0,0
2015,GOBIERNO REGIONAL,ADAPTACION,NACIONAL,55077842,45517567
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,AMAZONAS,405176,268367
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,ANCASH,3821349,3180382
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,APURIMAC,800195,717819
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,AREQUIPA,908276,257003
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,AYACUCHO,3322139,2698863
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,CAJAMARCA,2626236,1933181
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,CUSCO,36173543,34574050
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,HUANCAVELICA,1264336,1217261
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,HUANUCO,5212551,5143474
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,ICA,1730791,1307173
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,JUNIN,170720,94962
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LA LIBERTAD,2783561,1845474
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LAMBAYEQUE,141047,140601
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LIMA,1066838,166642
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LORETO,582407,519281
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,MADRE DE DIOS,24856,19655
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,MOQUEGUA,826627,469101
2015,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,PASCO,2095284,1471027
