Departamento,Year,celda,Electores,Poblacion,PIM,Devengado,PIMCC,DevengadoCC,PIMFONDES,DevengadoFONDES
AMAZONAS,2015,Tres niveles de gobierno,228936,422629,892852469,735523335,12014639,8975173,0,0
AMAZONAS,2015,Gobierno Nacional,228936,422629,356715282,341393096,0,0,0,0
AMAZONAS,2015,Gobierno Regional,228936,422629,202960280,166339112,10954817,8416612,0,0
AMAZONAS,2015,Gobierno Local,228936,422629,333176907,227791128,1059822,558561,0,0
ANCASH,2015,Tres niveles de gobierno,661380,1148634,1242315262,679241101,31174571,15649715,0,0
ANCASH,2015,Gobierno Nacional,661380,1148634,310864153,204035672,5475838,5432688,0,0
ANCASH,2015,Gobierno Regional,661380,1148634,198847827,49365547,5097026,0,0,0
ANCASH,2015,Gobierno Local,661380,1148634,732603282,425839882,20601707,10217027,0,0
APURIMAC,2015,Tres niveles de gobierno,242965,458830,1317800243,766673289,76384514,67042316,0,0
APURIMAC,2015,Gobierno Nacional,242965,458830,285978405,245439798,0,0,0,0
APURIMAC,2015,Gobierno Regional,242965,458830,281882101,232279264,64977212,64445362,0,0
APURIMAC,2015,Gobierno Local,242965,458830,749939737,288954227,11407302,2596954,0,0
AREQUIPA,2015,Tres niveles de gobierno,850913,1287205,1863827690,1171034749,17053807,4458292,0,0
AREQUIPA,2015,Gobierno Nacional,850913,1287205,441067814,398115057,0,0,0,0
AREQUIPA,2015,Gobierno Regional,850913,1287205,427091997,260342001,0,0,0,0
AREQUIPA,2015,Gobierno Local,850913,1287205,995667879,512577692,17053807,4458292,0,0
AYACUCHO,2015,Tres niveles de gobierno,364963,688657,1848001082,1486547059,28783844,18953511,0,0
AYACUCHO,2015,Gobierno Nacional,364963,688657,622178227,548419298,0,0,0,0
AYACUCHO,2015,Gobierno Regional,364963,688657,476648674,405176951,5244084,4495529,0,0
AYACUCHO,2015,Gobierno Local,364963,688657,749174181,532950809,23539760,14457982,0,0
CAJAMARCA,2015,Tres niveles de gobierno,807357,1529755,2141284200,1549619670,47285818,19916052,0,0
CAJAMARCA,2015,Gobierno Nacional,807357,1529755,853750140,763000164,1697921,1645666,0,0
CAJAMARCA,2015,Gobierno Regional,807357,1529755,251720851,151759335,2751081,2247326,0,0
CAJAMARCA,2015,Gobierno Local,807357,1529755,1035813209,634860171,42836816,16023059,0,0
CALLAO,2015,Tres niveles de gobierno,648367,1010315,2518437431,2413553099,0,0,0,0
CALLAO,2015,Gobierno Nacional,648367,1010315,2249658780,2204877859,0,0,0,0
CALLAO,2015,Gobierno Regional,648367,1010315,169383787,131696292,0,0,0,0
CALLAO,2015,Gobierno Local,648367,1010315,99394864,76978948,0,0,0,0
CUSCO,2015,Tres niveles de gobierno,756348,1316729,3444032663,2924104532,62364897,54896719,0,0
CUSCO,2015,Gobierno Nacional,756348,1316729,1099640843,1015690613,603398,603397,0,0
CUSCO,2015,Gobierno Regional,756348,1316729,533010683,429793963,5893238,5838026,0,0
CUSCO,2015,Gobierno Local,756348,1316729,1811381137,1478619956,55868261,48455296,0,0
HUANCAVELICA,2015,Tres niveles de gobierno,205637,494963,1199841306,992439118,9097906,8662727,0,0
HUANCAVELICA,2015,Gobierno Nacional,205637,494963,510338198,459546277,0,0,0,0
HUANCAVELICA,2015,Gobierno Regional,205637,494963,224154972,186529656,6305682,6204268,0,0
HUANCAVELICA,2015,Gobierno Local,205637,494963,465348136,346363185,2792224,2458460,0,0
HUANUCO,2015,Tres niveles de gobierno,427449,860537,1099071597,814417258,22438180,19660047,0,0
HUANUCO,2015,Gobierno Nacional,427449,860537,267277312,229655633,4102962,4079349,0,0
HUANUCO,2015,Gobierno Regional,427449,860537,236146611,218625287,8010589,8007174,0,0
HUANUCO,2015,Gobierno Local,427449,860537,595647674,366136337,10324629,7573524,0,0
ICA,2015,Tres niveles de gobierno,507681,787170,651330003,450383657,15422096,8520175,0,0
ICA,2015,Gobierno Nacional,507681,787170,91373518,71857467,0,0,0,0
ICA,2015,Gobierno Regional,507681,787170,110254960,93028838,0,0,0,0
ICA,2015,Gobierno Local,507681,787170,449701525,285497352,15422096,8520175,0,0
JUNIN,2015,Tres niveles de gobierno,773922,1350783,1274724016,907968905,17715166,4054177,0,0
JUNIN,2015,Gobierno Nacional,773922,1350783,257864614,206777549,0,0,0,0
JUNIN,2015,Gobierno Regional,773922,1350783,326368694,279574173,407577,357381,0,0
JUNIN,2015,Gobierno Local,773922,1350783,690490708,421617183,17307589,3696796,0,0
LA LIBERTAD,2015,Tres niveles de gobierno,1100416,1859640,1871295615,1409601755,5205846,3231401,0,0
LA LIBERTAD,2015,Gobierno Nacional,1100416,1859640,318827934,289174736,0,0,0,0
LA LIBERTAD,2015,Gobierno Regional,1100416,1859640,632180628,555634833,0,0,0,0
LA LIBERTAD,2015,Gobierno Local,1100416,1859640,920287053,564792186,5205846,3231401,0,0
LAMBAYEQUE,2015,Tres niveles de gobierno,732843,1260650,984539624,657917504,11289619,9846163,0,0
LAMBAYEQUE,2015,Gobierno Nacional,732843,1260650,141239255,102937709,0,0,0,0
LAMBAYEQUE,2015,Gobierno Regional,732843,1260650,375462889,290365618,0,0,0,0
LAMBAYEQUE,2015,Gobierno Local,732843,1260650,467837480,264614177,11289619,9846163,0,0
LIMA,2015,Tres niveles de gobierno,6333911,9838251,7652654119,6480901318,16381226,14508712,0,0
LIMA,2015,Gobierno Nacional,6333911,9838251,5743241013,5232357067,3345096,3345096,0,0
LIMA,2015,Gobierno Regional,6333911,9838251,234410954,197557109,470971,470927,0,0
LIMA,2015,Gobierno Local,6333911,9838251,1675002152,1050987142,12565159,10692689,0,0
LORETO,2015,Tres niveles de gobierno,511703,1039372,761776678,606140063,6477355,2941772,0,0
LORETO,2015,Gobierno Nacional,511703,1039372,208734700,156784105,0,0,0,0
